Number,Date,State/Tribal Government,Incident Description,Declaration Type
4220,5/18/2015,West Virginia,"Severe Storms, Flooding, Landslides, and Mudslides",Major Disaster Declaration
4219,5/14/2015,West Virginia,"Severe Storms, Flooding, Landslides, and Mudslides",Major Disaster Declaration
4218,5/12/2015,Kentucky,"Severe Winter Storm, Snowstorm, Flooding, Landslides, and Mudslides",Major Disaster Declaration
4217,5/1/2015,Kentucky,"Severe Storms, Tornadoes, Flooding, Landslides, and Mudslides",Major Disaster Declaration
4216,4/30/2015,Kentucky,"Severe Winter Storms, Snowstorms, Flooding, Landslides, and Mudslides",Major Disaster Declaration
4215,4/20/2015,Georgia,Severe Winter Storm,Major Disaster Declaration
4214,4/13/2015,Massachusetts,"Severe Winter Storm, Snowstorm, and Flooding",Major Disaster Declaration
4213,4/8/2015,Connecticut,Severe Winter Storm and Snowstorm,Major Disaster Declaration
4212,4/3/2015,Rhode Island,Severe Winter Storm and Snowstorm,Major Disaster Declaration
4211,4/2/2015,Tennessee,Severe Winter Storm and Flooding,Major Disaster Declaration
4210,3/31/2015,West Virginia,"Severe Winter Storm, Flooding, Landslides, and Mudslides",Major Disaster Declaration
4209,3/25/2015,New Hampshire,Severe Winter Storm and Snowstorm,Major Disaster Declaration
4208,3/12/2015,Maine,"Severe Winter Storm, Snowstorm, and Flooding",Major Disaster Declaration
4207,2/3/2015,Vermont,Severe Winter Storm,Major Disaster Declaration
4206,1/27/2015,Soboba Band of Luiseño Indians,"Severe Storms, Flooding, and Mudslides",Major Disaster Declaration
4205,1/7/2015,Mississippi,Severe Storms and Tornadoes,Major Disaster Declaration
5122,4/5/2016,Oklahoma,350 Fire Complex,Fire Management Assistance Declaration
5121,4/5/2016,Kansas,Burr Oak Fire,Fire Management Assistance Declaration
4268,3/25/2016,Mississippi,Severe Storms and Flooding,Major Disaster Declaration
5120,3/23/2016,Kansas,Anderson Creek Fire,Fire Management Assistance Declaration
4267,3/23/2016,Pennsylvania,Severe Winter Storm and Snowstorm,Major Disaster Declaration
4266,3/19/2016,Texas,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
4265,3/16/2016,Delaware,Severe Winter Storm and Flooding,Major Disaster Declaration
4264,3/14/2016,New Jersey,Severe Winter Storm and Snowstorm,Major Disaster Declaration
4263,3/13/2016,Louisiana,Severe Storms and Flooding,Major Disaster Declaration
4262,3/7/2016,Virginia,Severe Winter Storm And Snowstorm,Major Disaster Declaration
4261,3/4/2016,Maryland,Severe Winter Storm and Snowstorm,Major Disaster Declaration
4260,3/4/2016,District of Columbia,Snowstorm,Major Disaster Declaration
4259,2/26/2016,Georgia,Severe Storms and Flooding,Major Disaster Declaration
5119,2/18/2016,Oklahoma,Pawnee Cove Fire,Fire Management Assistance Declaration
4258,2/17/2016,Oregon,"Severe Winter Storms, Straight-line Winds, Flooding, Landslides, and Mudslides ",Major Disaster Declaration
4257,2/17/2016,Alaska,Severe Storm,Major Disaster Declaration
4256,2/10/2016,Oklahoma,Severe Winter Storms and Flooding,Major Disaster Declaration
4255,2/9/2016,Texas,"Severe Winter Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
4254,2/5/2016,Arkansas,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
3376,2/5/2016,Louisiana,Severe Storms and Flooding,Emergency Declaration
4253,2/2/2016,Washington,"Severe Winter Storm, Straight-Line Winds, Flooding, Landslides, Mudslides, and a Tornado",Major Disaster Declaration
4252,2/1/2016,Idaho,Severe Winter Storms,Major Disaster Declaration
5118,1/29/2016,Oklahoma,Oak Grove Fire,Fire Management Assistance Declaration
4251,1/21/2016,Alabama,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
4250,1/21/2016,Missouri,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
3375,1/16/2016,Michigan,Contaminated Water,Emergency Declaration
4249,1/15/2016,Washington,"Severe Storms, Straight-line Winds, Flooding, Landslides, and Mudslides",Major Disaster Declaration
4248,1/4/2016,Mississippi,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
3374,1/2/2016,Missouri,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Emergency Declaration
